Gene,Intervention_logFC,Intervention_P.Value,group,utr_length,AREScore,ARED_cluster,n_7mer_L2
LTC4S,0.6982182415063412,0.000183700037584185,up,117,0.0,0,0
CD163,0.7523569057337909,0.000250000529910752,up,891,1.0,1,1
KCTD17,0.810141169918718,0.000266526680217081,up,793,0.0,0,0
ZNF367,-0.276572863779677,0.000623069730490935,background,2296,7.0,1,2
SAC3D1,0.8173435110038829,0.000626433130557448,up,520,0.0,0,0
TAGAP,-0.8721054089162951,0.00218040374142582,down,1346,1.0,1,1
MISP3,0.38336665173143203,0.00316948787445372,up,338,0.0,0,0
BBLN,0.271899085622954,0.00330186125577388,background,309,0.0,0,0
WSB2,0.368627595830867,0.0035784789180865703,up,1502,3.0,1,1
SFN,0.6971953461561291,0.00366149438384388,up,497,0.0,0,0
HIF1A,-0.384185075855602,0.0037642805318890897,down,1172,8.0,2,3
P2RY1,-0.455147568892406,0.00393162911341919,down,4535,7.0,1,2
MAN1A1,-0.303729307747526,0.0039394708548748,down,2608,3.0,1,1
C1D,-0.233039817554179,0.00398483002767122,background,1759,7.0,1,2
MEIS3P2,-0.480579415087614,0.0039868732597941,down,331,0.0,0,0
GMFB,-0.6128346499984649,0.00402257126465545,down,6506,7.0,1,6
PRKAR1A,-0.41137272712470396,0.0044701735960831,down,4101,12.0,2,2
MIDN,-0.385795714898431,0.00474472362904318,down,1869,0.0,1,1
NAGS,0.346751612852982,0.00554859315411475,up,467,0.0,0,0
CCNI2,-0.570534654391306,0.00593768503589641,down,1433,0.0,1,0
CCNA2,-0.5127336355160871,0.00605012802727719,down,1194,2.0,1,0
DNAJC28,0.38446652907225803,0.00667437782869128,up,2131,4.0,1,0
AS3MT,0.44210036903827793,0.00687255611405513,up,1199,6.0,3,3
DGKD,0.507397665700106,0.0070167529768667,up,2638,0.0,1,1
CD59,-0.265979455376288,0.0071933824499227,background,7116,3.0,1,1
ARMC1,-0.35494289908121995,0.007276232355655659,down,1936,2.0,1,0
SYT15,-0.23377579761831302,0.00737974622883438,background,4417,19.0,2,1
ELL2,-0.330141844487102,0.0077543903973056,down,3773,8.0,2,4
SCO2,-1.62114912059914,0.008245323973990479,down,43,0.0,0,0
XPO6,0.36358432090689397,0.008282395922111479,up,559,0.0,0,0
MAD2L1BP,-0.269901100889931,0.009034396295601571,background,386,0.0,0,0
BAG4,-0.2602163891381,0.00953678046153428,background,2803,7.0,1,1
USP33,-0.300510674140441,0.00959672640103637,down,2592,14.0,1,4
RAB5A,-0.27088207748911897,0.00978908634559344,background,1352,2.0,1,1
DLAT,-0.43664209524417696,0.0101678463343708,down,1854,10.0,2,5
LEMD3,-0.271871686834124,0.0104554738413022,background,2003,8.0,1,2
TNNC1,-0.422754419612512,0.0106169911985715,down,20,0.0,0,0
CFL2,-0.47127424152272096,0.0107698670549233,down,3752,5.0,2,3
DCUN1D1,-0.245686774503527,0.0107705064947339,background,7020,19.0,1,2
TRMT1L,-0.285332297834101,0.0108498407115909,background,1927,2.0,1,1
ZNF501,-0.249046000651198,0.0109196699927917,background,2699,5.0,1,1
UBE2D1,-0.43467549325563,0.0109629019447641,down,1983,8.0,1,0
UQCC3,0.41121115698725397,0.0110799992378641,up,1572,0.0,1,0
THAP5,-0.419700549905776,0.0111335316207316,down,2059,7.0,1,3
DUSP28,0.390216359457974,0.011372401294916,up,3789,1.0,1,0
TMED5,-0.375870705329924,0.0114777686970457,down,4928,12.0,1,3
IQGAP2,-0.23171429160287,0.0114913339134008,background,817,1.0,1,0
BACH1,-0.26504835318763303,0.0116317306385174,background,3318,5.0,1,0
HIGD1A,-0.36806929158226603,0.0116954652555081,down,2308,4.0,1,3
TEX30,-0.354611547366478,0.0120015695187539,down,547,1.0,1,0
ABHD11,0.394714579937127,0.0122447837119075,up,468,0.0,0,0
RP2,-0.291029279316102,0.0124993240950912,background,2579,11.0,1,1
CAVIN2,-0.46918528316780106,0.0126480050055402,down,1618,2.0,1,0
C2orf69,-0.257215656260162,0.0127074593751025,background,2387,8.0,1,1
RCOR3,-0.23365119644498497,0.0127428942980208,background,2617,11.0,1,1
C6orf163,-0.211677548234359,0.0127492939308074,background,67,1.0,1,0
TUFT1,-0.187630900989717,0.0129004508618781,background,1868,1.0,1,1
